# Functions safe to replace (no internal ARM callers)
# addr size name
0x001a7b81       48 _ZN8GameMain11getInstanceEv
0x001a7bb5      156 _ZN8GameMainC2Ev
0x001a7bb5      156 _ZN8GameMainC1Ev
0x001a7da5      624 _ZN8GameMainD2Ev
0x001a7da5      624 _ZN8GameMainD1Ev
0x001a8015      236 _ZN8GameMain16releaseRenderersEv
0x001a8101       20 _ZN8GameMainD0Ev
0x001a8115        6 _ZNK8GameMain16getHomeDirectoryEv
0x001a811d      568 _ZN8GameMain4initEP10GameConfig
0x001a8355      136 _ZN8GameMain8fetchIDsEv
0x001a83dd      140 _ZN8GameMain12getPointSizeEv
0x001a8469      104 _ZN8GameMain12installEventEv
0x001a84d1        4 _ZNK8GameMain15isSctuneEnabledEv
0x001a84d5        8 _ZN8GameMain18resetTimeFromInputEv
0x001a84dd       26 _ZN8GameMain12touchPressedERK5Touch
0x001a84f7        2 _ZN8GameMain14toggleDebugHudEv
0x001a8511        4 _ZN8GameMain10touchMovedERK5Touch
0x001a8519        4 _ZN8GameMain13touchReleasedERK5Touch
0x001a8521        2 _ZN8GameMain14touchCancelledEi
0x001a8525        4 _ZNK8GameMain7getTimeEv
0x001a8529      752 _ZN8GameMain6updateEff
0x001a8819      396 _ZN8GameMain18reloadGameInternalEv
0x001a89a5       92 _ZN8GameMain16showNativeDialogEii
0x001a8a01        2 _ZN8GameMain4drawEf
0x001a8a03       30 _ZNK8GameMain12getDeltaTimeEv
0x001a8a21        6 _ZN8GameMain8setSleepEb
0x001a8a27        8 _ZN8GameMain10reloadGameEv
0x001a8a2f       14 _ZN8GameMain23reloadGameWithFireThemeEv
0x001a8a3d       14 _ZN8GameMain22reloadGameWithIceThemeEv
0x001a8a4b       10 _ZN8GameMain20reloadGameAndShadersEv
0x001a8a55       12 _ZN8GameMain26reloadGameAndFallbackFontsEv
0x001a8a61       26 _ZN8GameMain17closeNativeDialogEv
0x001a8ab9        6 _ZNK8GameMain10isSleepingEv
0x001a8ac1      492 _ZN8GameMain12setHibernateEb
0x001a8cad        2 _ZN8GameMain11runUnitTestEv
0x001a8cb1       24 _ZN8GameMain7keyDownEi
0x001a8cc9        6 _ZN8GameMain5keyUpEi
0x001a8cd1      112 _ZN8GameMain10mouseWheelEi
0x001a8d41      136 _ZN8GameMain9handleURLEPKcS1_
0x001a8dc9      268 _ZN8GameMain15dialogDidCancelEi
0x001a8ed5       44 _ZNK8GameMain17getMaintenanceURLEv
0x001a8f01       88 _ZN8GameMain18showTermsOfServiceEv
0x001a8f61     2424 _ZN8GameMain16showNativeDialogEiiRK6String
0x001a98d9      400 _ZN8GameMain19getTargetResolutionERiS0_
0x001a9a69       60 _ZN8GameMain15isTabletVersionEv
0x001a9aa5       72 _ZN8GameMain12isWideScreenEv
0x001a9aed        6 _ZN8GameMain23setApplicationUpdateURLERK6String
0x001a9af5       84 _ZN8GameMain12appRateNeverEv
0x001a9b4d        2 _ZN8GameMain12appRateLaterEv
0x001a9b51       84 _ZN8GameMain17appRateWillReviewEv
0x001a9ba9      248 _ZN8GameMain17openAppRateDialogEv
0x001a9ca1        4 _ZNK8GameMain7getUDIDEv
0x001a9ca5        4 _ZNK8GameMain11getOpenUDIDEv
0x001a9ca9        4 _ZNK8GameMain7getADIDEv
0x001a9cad       12 _ZN8GameMain16configureSurfaceER13SurfaceConfig
0x001a9cb9     1148 _ZN8GameMain17updateDeviceFlagsEv
0x001aa135      276 _ZN8GameMain23callPartnerIntegrationsEv
0x001aa249        6 _ZNK8GameMain12getAccountIdEv
0x001aa24f       16 _ZN8GameMain20setMapScrollPositionEfff
0x001aa25f       16 _ZN8GameMain24setCoopMapScrollPositionEfff
0x001aa271       84 _ZN8GameMain16checkTroopsReadyEv
0x001aa2c5        6 _ZN8GameMain22showMissionInEndScreenEP16LogicMissionData
0x001aa2cd      124 _ZN8GameMain12setAccountIdEP9LogicLong
0x001aa349        6 _ZNK8GameMain18getAccountIdStringEv
0x001aa34f      246 _ZN8GameMain13initRenderersEv
0x001aa445       60 _ZN8GameMain11loadShadersEv
0x001aa481        6 _ZN8GameMain24setRematchmakedTileIndexEi
0x001aa489      516 _ZN8GameMain33calculateResourceParametersForHUDEv
0x001aa68d       56 _ZNK8GameMain26getResourceProdutionInHomeEP17LogicResourceData
0x001aa6c5       56 _ZNK8GameMain21getResourceProtectionEP17LogicResourceData
0x001aa6fd        6 _ZN8GameMain18setEventNpcSpawnedEb
0x001aa705       72 _ZN8GameMain19getFinalTexturePathERK6String
0x001aa74d      124 _ZN8GameMain18getFinalShaderPathERK6String
0x001aa7c9        2 _ZN8GameMain8onResizeEii
0x001aa7cb       60 _ZNK8GameMain13isSmallDeviceEv
0x001aa809      292 _ZN8GameMain17backButtonPressedEv
0x001aa92d        6 _ZN8GameMain11setFinishedEv
0x001aa933        6 _ZNK8GameMain19getGameObjectShaderEv
0x001aa939        6 _ZNK8GameMain16getCrabLegShaderEv
0x001aa93f        8 _ZN8GameMain16setScreenClearedEv
0x001aa947       22 _ZN8GameMain22setShaderConfigurationERK6String
0x001aa95d       16 _ZNK8GameMain14getCachedThemeEv
0x001aa96d       96 _ZN8GameMain21onReachabilityChangedEi
0x001aa9cd       68 _ZN8GameMain21newCoopMissionStartedEv
0x001aaa11        6 _ZN8GameMain27setCurrentSpectateBaseIndexEi
0x001aaa17        2 _ZN8GameMain20toggleDebugGameSpeedEv
0x001aaa19     1040 _ZN8GameMain23updateHelpshiftMetadataEv
0x001aae29      172 _ZN8GameMain18IsIAPWarningNeededEv
0x001aaed5        8 _ZN8GameMain11showIAPInfoEv
0x001aaedd      172 _ZN8GameMain24setHammermanEventRewardsEP14LogicArrayListIP13LogicDataSlotE
0x001aaf89        2 _ZN8GameMain14toggleDebugLogEv
0x001aaf8d       84 _ZN8GameMain15storeAvatarTierEi
0x001aaff9       16 _ZN17LogicFileTemplateC2Ev
0x001aaff9       16 _ZN17LogicFileTemplateC1Ev
0x001ab009        2 _ZN17LogicFileTemplate8destructEv
0x001ab00d      592 _ZN15AchievementItemC2EP20LogicAchievementData
0x001ab00d      592 _ZN15AchievementItemC1EP20LogicAchievementData
0x001ac80d       60 _ZN14AllianceButtonC2EP9LogicLongi
0x001ac80d       60 _ZN14AllianceButtonC1EP9LogicLongi
0x001acf11      256 _ZN12AllianceItem24initAvatarProfilePictureEP14LogicArrayListIP6StringEiRNSt6__ndk110unique_ptrI20AvatarProfilePictureNS5_14default_deleteIS7_EEEERKS1_
0x001ad2fd       64 _ZN15AllianceManager29deleteAllianceHeaderEntryListEP14LogicArrayListIP19AllianceHeaderEntryE
0x001ad645       48 _ZN15AllianceManager19requestAllianceDataEP9LogicLong
0x001ad69d     2112 _ZN15AllianceManager14receiveMessageEP14PiranhaMessage
0x001ae101       20 _ZN15AllianceManager24setCachedVisitAllianceIDEP9LogicLong
0x001ae115      100 _ZN15AllianceManager18isPlayerInAllianceEP9LogicLong
0x001ae389      728 _ZN18AllianceMemberItemC2EP19AllianceMemberEntryP9LogicLongi
0x001ae389      728 _ZN18AllianceMemberItemC1EP19AllianceMemberEntryP9LogicLongi
0x001ae991     1460 _ZN18AllianceMemberMenuC1EP12CustomButtonP19AllianceMemberEntryP9LogicLong
0x001ae991     1460 _ZN18AllianceMemberMenuC2EP12CustomButtonP19AllianceMemberEntryP9LogicLong
0x001aef45      284 _ZN18AllianceMemberMenuC2EP12CustomButtonP9LogicLongS3_S3_
0x001aef45      284 _ZN18AllianceMemberMenuC1EP12CustomButtonP9LogicLongS3_S3_
0x001b02e1      408 _ZN12AllianceMenu9setScreenEiP9LogicLong
0x001b04b1       88 _ZN12AllianceMenu10pushScreenEiP9LogicLong
0x001b0509       74 _ZN12AllianceMenu22setAllianceRankingListEP14LogicArrayListIP20AllianceRankingEntryEii
0x001b0699      136 _ZN12AllianceMenu21setAllianceSearchListEP14LogicArrayListIP19AllianceHeaderEntryE6String
0x001b0721       18 _ZN12AllianceMenu22setAllianceMemberStatsEP14LogicArrayListIP23AllianceMemberStatEntryE
0x001b0735      160 _ZN12AllianceMenu16openViewAllianceEP9LogicLongb
0x001b0efd      948 _ZN20AllianceMessagePopupC1ENS_24AllianceMessagePopupTypeEP9LogicLongRK6String
0x001b0efd      948 _ZN20AllianceMessagePopupC2ENS_24AllianceMessagePopupTypeEP9LogicLongRK6String
0x001b12b1      592 _ZN20AllianceMessagePopup7setTextE6StringS0_S0_S0_
0x001b1501      136 _ZN20AllianceMessagePopupD2Ev
0x001b1501      136 _ZN20AllianceMessagePopupD1Ev
0x001b1589       20 _ZN20AllianceMessagePopupD0Ev
0x001b159d        4 _ZN20AllianceMessagePopup7keyDownEi
0x001b15a1        4 _ZNK20AllianceMessagePopup7isModalEv
0x001b15a5      136 _ZN20AllianceMessagePopup12setSnapToTopEb
0x001b162d      460 _ZN20AllianceMessagePopup13buttonClickedEP12CustomButton
0x001b17ff       62 _ZN20AllianceMessagePopup6updateEf
0x001b183d       48 _ZN20AllianceMessagePopup13touchReleasedERK5Touch
0x001b186d       12 _ZN20AllianceMessagePopup12touchPressedERK5Touch
0x001b1881      276 _ZN21AllianceQuestionPopupC1ENS_25AllianceQuestionPopupTypeEP9LogicLongRK6String
0x001b1881      276 _ZN21AllianceQuestionPopupC2ENS_25AllianceQuestionPopupTypeEP9LogicLongRK6String
0x001b2011      272 _ZN21AllianceQuestionPopupC2ENS_25AllianceQuestionPopupTypeERK6StringP14PiranhaMessage
0x001b2011      272 _ZN21AllianceQuestionPopupC1ENS_25AllianceQuestionPopupTypeERK6StringP14PiranhaMessage
0x001b2745      140 _ZN14AllianceScreenC1EiP9LogicLongP12AllianceMenu
0x001b2745      140 _ZN14AllianceScreenC2EiP9LogicLongP12AllianceMenu
0x001b3769      128 _ZN14AllianceScreen30deleteAllianceRankingEntryListEP14LogicArrayListIP20AllianceRankingEntryE
0x001b465d       88 _ZN14AllianceScreen19setAllianceRankingsEP14LogicArrayListIP20AllianceRankingEntryEii
0x001b4ce9       60 _ZN14AllianceScreen23listenerForAllianceDataEP9LogicLong
0x001b552b       68 _ZN14AllianceScreen28deleteAvatarRankingEntryListEP14LogicArrayListIP18AvatarRankingEntryE
0x001b75a5      120 _ZN25AllianceScreenMemberStats17deleteStatEntriesEP14LogicArrayListIP23AllianceMemberStatEntryE
0x001b79e1       46 _ZN25AllianceScreenMemberStats8setStatsEP14LogicArrayListIP23AllianceMemberStatEntryE
0x001b85c5      228 _ZN20AllianceScreenSearch21setAllianceSearchListEP14LogicArrayListIP19AllianceHeaderEntryE6String
0x001b8b65      128 _ZN14AllianceStream22saveLastSeenMessageIdsEv
0x001b9a75      124 _ZN14AllianceStream12unpinMessageEb
0x001b9d31       56 _ZN14AllianceStream11removeEntryEP9LogicLong
0x001b9d69       58 _ZN14AllianceStream7getItemEP9LogicLong
0x001b9f55      404 _ZN14AllianceStream10pinMessageENSt6__ndk110shared_ptrI11StreamEntryEEb
0x001ba111      356 _ZN14AllianceStream13reportMessageENSt6__ndk110shared_ptrI11StreamEntryEE
0x001ba275       76 _ZN14AllianceStream13addReportedIdEP9LogicLong
0x001ba2c1       72 _ZN14AllianceStream11setHomeJSONEP9LogicLongP6String
0x001ba351      108 _ZN14AllianceStream15sendChatMessageEv
0x001ba431       84 _ZN14AllianceStream24removeLastSeenMessageIdsEv
0x001bc50d      160 _ZN9ChatInput11sendMessageEv
0x001bc6c9      956 _ZN14GlobalChatItemC2EP21GlobalChatLineMessage
0x001bc6c9      956 _ZN14GlobalChatItemC1EP21GlobalChatLineMessage
0x001bcc95      144 _ZN17PinnedMessageMenuC2EP12CustomButton
0x001bcc95      144 _ZN17PinnedMessageMenuC1EP12CustomButton
0x001bcd25       28 _ZN17PinnedMessageMenuD2Ev
0x001bcd25       28 _ZN17PinnedMessageMenuD1Ev
0x001bcd41       48 _ZN17PinnedMessageMenuD0Ev
0x001bcd71       44 _ZN17PinnedMessageMenu13buttonClickedEP12CustomButton
0x001bced1      364 _ZN14PlayerRankItemC2EP18AvatarRankingEntryiNS_9ScoreTypeE
0x001bced1      364 _ZN14PlayerRankItemC1EP18AvatarRankingEntryiNS_9ScoreTypeE
0x001bd78f        8 _ZNK14PlayerRankItem11getAvatarIdEv
0x001bddc9       64 _ZN11SearchField11sendMessageEv
0x001be821      240 _ZNK10StreamItem15getEventMessageEP24AllianceEventStreamEntry
0x001bf0b5        8 _ZN10StreamItem15setMessageAsNewEv
0x001bfdad      116 _ZN10Background9prerenderERK12LogicTileMap
0x001bfe21     3624 _ZN10Background18prerenderIndicatorERK12LogicTileMap
0x001c0d47        2 _ZN10Background14prerenderPieceERK12LogicTileMapi
0x001c0d49       96 _ZN10Background16refreshIndicatorERK12LogicTileMap
0x001c3b11       44 _ZN14CommandStorageC2Ev
0x001c3b11       44 _ZN14CommandStorageC1Ev
0x001c3b3d       20 _ZN14CommandStorageD2Ev
0x001c3b3d       20 _ZN14CommandStorageD1Ev
0x001c3b51        4 _ZN14CommandStorageD0Ev
0x001c3b55      184 _ZN14CommandStorage8destructEv
0x001c3c0d       76 _ZN14CommandStorage15commandExecutedEP12LogicCommand
0x001c3c8b       28 _ZN14CommandStorage11getCommandsEv
0x001c3cfb       10 _ZN24LiveReplayCommandManagerC2Ev
0x001c3cfb       10 _ZN24LiveReplayCommandManagerC1Ev
0x001c3d05       22 _ZN24LiveReplayCommandManagerD2Ev
0x001c3d05       22 _ZN24LiveReplayCommandManagerD1Ev
0x001c3d1b      114 _ZN24LiveReplayCommandManager22clearAllStoredCommandsEv
0x001c3d8d       32 _ZN24LiveReplayCommandManager17constructInstanceEv
0x001c3dad       48 _ZN24LiveReplayCommandManager16destructInstanceEv
0x001c3ddd      142 _ZN24LiveReplayCommandManager13storeCommandsEP14LogicArrayListIP12LogicCommandEi
0x001c3e6b       10 _ZN24LiveReplayCommandManager20removeStoredCommandsEv
0x001c41ed       28 _ZN16ServerConnection17setSelectedLocaleEP15LogicLocaleData
0x001c5765      360 _ZN28CalculateDefenseValuesButton28loadGameObjectsFromJSonArrayEP14LogicJSONArray
0x001c7519       40 _ZN18DebugCommandButtonC1Eii
0x001c7519       40 _ZN18DebugCommandButtonC2Eii
0x001c7541       24 _ZN18DebugCommandButtonD2Ev
0x001c7541       24 _ZN18DebugCommandButtonD1Ev
0x001c7559       44 _ZN18DebugCommandButtonD0Ev
0x001c7585       76 _ZN18DebugCommandButton13buttonPressedEv
0x001c7e8d      204 _ZN9DebugDraw12LogicPrimSet5clearEv
0x001c7f59      176 _ZN9DebugDraw12LogicPrimSet16updateExpirationEi
0x001c82d5      996 _ZN9DebugDraw11drawPrimSetERNS_12LogicPrimSetE
0x001c90c9      156 _ZN9DebugDraw12LogicPrimSet7addLineEiiiiiixi
0x001c916d      160 _ZN9DebugDraw12LogicPrimSet12addThickLineEiiiiiiixi
0x001c9215      164 _ZN9DebugDraw12LogicPrimSet9addCircleEiiixi
0x001c92c1      164 _ZN9DebugDraw12LogicPrimSet7addRingEiiiixxi
0x001c936d      164 _ZN9DebugDraw12LogicPrimSet6addArcEiiiiiixxi
0x001c9419      144 _ZN9DebugDraw12LogicPrimSet11addFillRectEiiiixi
0x001c97b5       90 _ZNK9DebugDraw12LogicPrimSet8getCountEv
0x001ccbd5     1200 _ZN9DebugUtil14addDebugTroopsEiP11LogicAvatari
0x001cd085      220 _ZN9DebugUtil21changeDebugTroopLevelEiP11LogicAvatar
0x001cdc25      372 _ZN9DebugUtil15deployAllTroopsEP11LogicAvatarP10LogicLevel
0x001ce811       72 _ZN13EffectPreview4playEP15LogicEffectData
0x001ce8f5       36 _ZN19EffectPreviewButtonC1EP15LogicEffectData
0x001ce8f5       36 _ZN19EffectPreviewButtonC2EP15LogicEffectData
0x001cf5cd      228 _ZN33ExportLocalizedAchievementsButton18getAchievementNameEP20LogicAchievementDataP15LogicLocaleData
0x001cf6b1      592 _ZN33ExportLocalizedAchievementsButton13getLocaleNameEP15LogicLocaleData
0x001cf901      280 _ZN33ExportLocalizedAchievementsButton25getAchievementDescriptionEP20LogicAchievementDataP15LogicLocaleData
0x001d13c9       44 _ZN15DeepLinkManager16setPendingActionEP17LogicDeepLinkDataRKNSt6__ndk16vectorI6StringNS2_9allocatorIS4_EEEE
0x001d16a9      112 _ZN15DeepLinkManager19canExecuteActionNowEP17LogicDeepLinkData
0x001d1719      380 _ZN15DeepLinkManager12handleActionEP17LogicDeepLinkDataRKNSt6__ndk16vectorI6StringNS2_9allocatorIS4_EEEE
0x001d1895      184 _ZN15DeepLinkManager17actionVisitPlayerEP9LogicLong
0x001d1a39      152 _ZN15DeepLinkManager28actionOpenShopBillingPackageEP24LogicBillingPackagesData
0x001d1ad1      180 _ZN15DeepLinkManager22actionOpenShopBuildingEP17LogicBuildingData
0x001d1b85       72 _ZN15DeepLinkManager19actionOpenShopSpellEP14LogicSpellData
0x001d1bcd       72 _ZN15DeepLinkManager19actionOpenShopTroopEP18LogicCharacterData
0x001d1cfd      344 _ZN15DeepLinkManager24actionNpcBaseBuilderTestEP17LogicDeepLinkDataRKNSt6__ndk16vectorI6StringNS2_9allocatorIS4_EEEE
0x001d1e59       88 _ZN15DeepLinkManager12handleActionEP17LogicDeepLinkDataRK6String
0x001d1eb1       72 _ZN15DeepLinkManager12handleActionEP17LogicDeepLinkData
0x001d1fd1        2 _ZN15DeepLinkManager25actionOpenShopOfferBundleEP18LogicGemBundleData
0x001d1fd5       72 _ZN15DeepLinkManager20actionOpenTrainTroopEP18LogicCharacterData
0x001d201d       16 _ZN15DeepLinkManager20actionOpenTrainSpellEP14LogicSpellData
0x001d2139      304 _ZNK15DeepLinkManager16getUrlFromActionEP17LogicDeepLinkDataRKNSt6__ndk16vectorI6StringNS2_9allocatorIS4_EEEE
0x001d493d     1136 _ZN11AOERenderer6renderEP14LogicEditorMapRK9xMatrix44
0x001d5d41        2 _ZN17EditorMapRenderer9loadThemeEP14LogicEditorMap
0x001d8a21      144 _ZN12GridRenderer17getHeightMapValueEP14LogicEditorMapii
0x001d8adb      188 _ZN12GridRenderer12isFillerTileEP14LogicEditorMapii
0x001d8b99      424 _ZN12GridRenderer14isMatchingTileEP14LogicEditorMapiib
0x001d8d41     2496 _ZN12GridRenderer5getUVEP14LogicEditorMapiiPfS2_S2_S2_S2_S2_S2_S2_
0x001d9701     1020 _ZN12GridRenderer4loadER14LogicEditorMapb
0x001d9b99      668 _ZN12GridRenderer6updateEfP15LogicGameObjectS1_
0x001da149      368 _ZN16ParticleRenderer4loadER14LogicEditorMap
0x001dd659     3528 _ZN19RenderableEditorMap4loadER14LogicEditorMap
0x001de9a5      836 _ZN13SteamRenderer4loadER14LogicEditorMap
0x001df949     1156 _ZN13WaterRenderer4loadER14LogicEditorMap
0x001e1725      320 _ZN14ArtifactEffect23startArtifactProductionEP17LogicArtifactData
0x001e197d      288 _ZN14ArtifactEffect14artifactPlacedEP15LogicGameObjectP17LogicArtifactData
0x001e1e11      212 _ZN13CollectedItemC2EfffffffP9MovieClipP17LogicResourceData
0x001e1e11      212 _ZN13CollectedItemC1EfffffffP9MovieClipP17LogicResourceData
0x001e2475      104 _ZN6EffectC2EP15LogicEffectDataP10GameObjectP15LogicGameObjectffiiib
0x001e2475      104 _ZN6EffectC1EP15LogicEffectDataP10GameObjectP15LogicGameObjectffiiib
0x001e24dd      412 _ZN6Effect4initEP10GameObjectP15LogicGameObjectffiiib
0x001e2679       96 _ZN6EffectC1EP15LogicEffectDataP10GameObjectP15LogicGameObjectb
0x001e2679       96 _ZN6EffectC2EP15LogicEffectDataP10GameObjectP15LogicGameObjectb
0x001e29e1      572 _ZN6Effect15setLocationFromEP10GameObjectRK12LogicVector2
0x001e3065      104 _ZN13EffectManager9addEffectEP15LogicEffectDataP10GameObjectP15LogicGameObjectib
0x001e30cd      340 _ZN13EffectManager9addEffectEP15LogicEffectDataP10GameObjectP15LogicGameObjectffiRK12LogicVector2iib
0x001e3221      116 _ZN13EffectManager9addEffectEP15LogicEffectDataP10GameObjectffiib
0x001e3295       92 _ZN13EffectManager4initEP6EffectP15LogicEffectData
0x001e32f1      276 _ZN13EffectManager9addEffectEP15LogicEffectDataii
0x001e3405      292 _ZN13EffectManager9addEffectEP15LogicEffectDatafff
0x001e360d      136 _ZN13EffectManager13itemCollectedEfffffffP9MovieClipP17LogicResourceData
0x001e36f9      112 _ZN17EnvironmentObjectC2EP26LogicEnvironmentObjectDataRK6StringS4_
0x001e36f9      112 _ZN17EnvironmentObjectC1EP26LogicEnvironmentObjectDataRK6StringS4_
0x001e399d      228 _ZN15ParticleEmitterC1EP24LogicParticleEmitterDatabP10GameObjectP15LogicGameObjectffibiib
0x001e399d      228 _ZN15ParticleEmitterC2EP24LogicParticleEmitterDatabP10GameObjectP15LogicGameObjectffibiib
0x001e3a81      192 _ZN15ParticleEmitterC1EP24LogicParticleEmitterDatabP10GameObjectP15LogicGameObjectbb
0x001e3a81      192 _ZN15ParticleEmitterC2EP24LogicParticleEmitterDatabP10GameObjectP15LogicGameObjectbb
0x001e6b4d      620 _ZN15FacebookManager18friendListReceivedEP14LogicArrayListIP11FriendEntryE
